Denomination_ID,Denomination_Name,Mode,ToleranceScore,Theol_Cons_Lib_avg,Social_Cons_Lib_avg,Counter_Pro_Modern_avg,Super_Nat_avg,Cult_Sep_Eng_avg,Cleric_Egal_avg,Div_Hum_Agency_avg,Commun_Indiv_avg,Liturg_Spont_avg,Sacram_Funct_avg,Literal_Crit_avg,Intellect_Exper_avg
DENOM_157,The Salvation Army,deep,31.387,37.354,59.762,50.331,48.997,55.825,77.253,49.812,80.931,77.497,85.628,39.346,47.055
DENOM_221,Religious Society of Friends (Unprogrammed/Liberal),quick,79.263,89.937,90.462,87.591,76.613,73.427,96.485,89.355,91.285,96.543,97.204,82.794,89.157
DENOM_221,Religious Society of Friends (Unprogrammed/Liberal),standard,79.263,89.937,90.462,87.591,76.613,73.427,96.485,89.355,91.285,96.543,97.204,82.794,89.157
DENOM_221,Religious Society of Friends (Unprogrammed/Liberal),deep,79.263,89.937,90.462,87.591,76.613,73.427,96.485,89.355,91.285,96.543,97.204,82.794,89.157
DENOM_013,Marcionites,quick,15.23,37.932,32.085,33.574,34.977,9.275,39.871,42.404,56.739,28.819,53.903,28.808,39.134
DENOM_013,Marcionites,standard,13.977,41.726,32.085,34.508,39.365,9.275,39.871,51.89,56.739,28.819,53.903,32.849,39.134
DENOM_013,Marcionites,deep,13.977,41.726,32.085,34.508,39.365,9.275,39.871,51.89,56.739,28.819,53.903,32.849,39.134
DENOM_230,Messianic Judaism,quick,30.229,24.774,21.714,41.153,38.864,28.159,81.164,40.67,81.702,77.169,81.756,19.152,39.044
DENOM_230,Messianic Judaism,standard,31.376,24.607,21.714,40.739,38.698,28.159,81.164,40.278,81.702,77.169,81.756,19.401,39.044
DENOM_230,Messianic Judaism,deep,31.376,24.607,21.714,40.739,38.698,28.159,81.164,40.278,81.702,77.169,81.756,19.401,39.044
